UserID,Name,Age,Gender,City,State,Country,Email,PhoneNumber,Address,RegistrationDate,DeviceType,Browser,OperatingSystem,IPAddress,TrustScore
1,Aanya Iyer,33,Female,Chennai,Tamil Nadu,India,aanyaiyer698@rediffmail.com,918000000000.0,"House 60, Chennai, India",05-08-2022,Web,Chrome,Android 14,192.168.29.99,0.36
2,Ishita Jain,25,Female,Mumbai,Maharashtra,India,ishita.jain21@gmail.com,919000000000.0,"House 151, Mumbai, India",15-02-2024,Android,Edge,Android 14,192.168.30.244,0.32
3,Aarav Kapoor,35,Male,Chennai,Tamil Nadu,India,aaravkapoor263@yahoo.com,918000000000.0,"House 39, Chennai, India",13-06-2023,Web,Edge,iOS 17,192.168.8.242,0.26
4,Sneha Reddy,47,Female,Mumbai,Maharashtra,India,sneha.reddy48@yahoo.com,920000000000.0,"House 164, Mumbai, India",11-11-2023,Web,Firefox,Android 14,192.168.8.250,0.91
5,Aanya Iyer,24,Female,Delhi,Delhi,India,aanyaiyer557@gmail.com,918000000000.0,"House 59, Delhi, India",18-07-2018,Web,Safari,Windows 11,192.168.22.25,0.63
6,Vikram Rao,49,Male,Bangalore,Karnataka,India,vikram_rao34@rediffmail.com,919000000000.0,"House 24, Bangalore, India",11-03-2022,iOS,Firefox,iOS 17,192.168.42.64,0.99
7,Vikram Rao,18,Male,Chennai,Tamil Nadu,India,vikramrao293@gmail.com,917000000000.0,"House 65, Chennai, India",10-01-2020,Web,Safari,Windows 11,192.168.85.120,0.77
8,Rahul Verma,42,Male,Lucknow,Uttar Pradesh,India,rahulverma99@gmail.com,918000000000.0,"House 253, Lucknow, India",02-04-2019,iOS,Chrome,Linux,192.168.203.152,0.63
9,Aanya Iyer,41,Female,Lucknow,Uttar Pradesh,India,aanya.iyer47@yahoo.com,917000000000.0,"House 178, Lucknow, India",14-07-2023,Web,Chrome,iOS 17,192.168.115.141,0.98
10,Riya Desai,35,Female,Lucknow,Uttar Pradesh,India,riyadesai916@rediffmail.com,918000000000.0,"House 228, Lucknow, India",28-06-2024,Web,Safari,Linux,192.168.95.28,0.23
11,Riya Desai,31,Female,Jaipur,Rajasthan,India,riya_desai74@outlook.com,919000000000.0,"House 2, Jaipur, India",21-07-2024,iOS,Edge,Linux,192.168.207.216,0.96
12,Meera Nair,25,Female,Pune,Maharashtra,India,meera.nair30@outlook.com,918000000000.0,"House 241, Pune, India",12-02-2020,Android,Firefox,Linux,192.168.7.99,0.59
13,Ishita Jain,26,Female,Mumbai,Maharashtra,India,ishita.jain27@gmail.com,918000000000.0,"House 24, Mumbai, India",16-08-2020,iOS,Safari,Windows 11,192.168.18.63,0.31
14,Vikram Rao,42,Male,Pune,Maharashtra,India,vikramrao445@yahoo.com,918000000000.0,"House 288, Pune, India",18-03-2023,iOS,Edge,Android 14,192.168.184.58,0.24
15,Aarav Kapoor,51,Male,Kolkata,West Bengal,India,aaravkapoor325@rediffmail.com,919000000000.0,"House 33, Kolkata, India",27-07-2019,Android,Edge,Linux,192.168.204.99,0.72
16,Vikram Rao,25,Male,Kolkata,West Bengal,India,vikramrao160@gmail.com,918000000000.0,"House 281, Kolkata, India",28-08-2023,Web,Firefox,Linux,192.168.218.120,0.37
17,Riya Desai,29,Female,Chennai,Tamil Nadu,India,riya_desai33@rediffmail.com,917000000000.0,"House 18, Chennai, India",18-03-2021,Android,Firefox,iOS 17,192.168.107.201,0.63
18,Aanya Iyer,41,Female,Hyderabad,Telangana,India,aanya_iyer76@gmail.com,918000000000.0,"House 21, Hyderabad, India",14-01-2021,iOS,Chrome,iOS 17,192.168.103.188,0.46
19,Kabir Sharma,20,Male,Bangalore,Karnataka,India,kabirsharma366@yahoo.com,918000000000.0,"House 20, Bangalore, India",11-07-2023,Web,Safari,Android 14,192.168.155.182,0.36
20,Sneha Reddy,25,Female,Lucknow,Uttar Pradesh,India,sneha_reddy57@rediffmail.com,918000000000.0,"House 5, Lucknow, India",26-03-2020,Android,Edge,Linux,192.168.145.205,0.85
21,Ishita Jain,33,Female,Pune,Maharashtra,India,ishita_jain87@rediffmail.com,917000000000.0,"House 219, Pune, India",21-07-2018,Android,Firefox,Windows 11,192.168.196.174,0.63
22,Kabir Sharma,43,Male,Kolkata,West Bengal,India,kabirsharma600@gmail.com,917000000000.0,"House 176, Kolkata, India",01-11-2018,iOS,Chrome,Windows 11,192.168.107.26,0.2
23,Aarav Kapoor,40,Male,Bangalore,Karnataka,India,aaravkapoor683@outlook.com,918000000000.0,"House 168, Bangalore, India",21-12-2023,Android,Firefox,Android 14,192.168.230.200,0.32
24,Rahul Verma,47,Male,Mumbai,Maharashtra,India,rahul.verma37@yahoo.com,919000000000.0,"House 15, Mumbai, India",20-04-2024,Web,Firefox,Windows 11,192.168.255.216,0.22
